"group","subgroup","base_benefit_exp","base_cost_exp","base_dalys_exp","invest_benefit_exp","invest_cost_exp","invest_dalys_exp","roi_exp","cost_per_daly_averted_exp"
"Total","Total",551231174645.155,0,75975077.590277,558625574504.743,344746302.977356,75200821.3493604,20.4488155368949,445.261251713264
"World Bank income level","High",540504280695.888,0,27676449.3189764,547834106114.636,344111704.599362,27148871.0041127,20.3007152060746,652.247628275368
"World Bank income level","Low",10726893949.2674,0,48298628.2713007,10791468390.1072,634598.37799401,48051950.3452477,100.756391253334,2.57257869866205
"WHO region name","EMRO",10726893949.2674,0,48298628.2713007,10791468390.1072,634598.37799401,48051950.3452477,100.756391253334,2.57257869866205
"WHO region name","EURO",540504280695.888,0,27676449.3189764,547834106114.636,344111704.599362,27148871.0041127,20.3007152060746,652.247628275368
"Sex","Female",540504280695.888,0,27676449.3189764,547834106114.636,344111704.599362,27148871.0041127,20.3007152060746,652.247628275368
"Sex","Male",10726893949.2674,0,48298628.2713007,10791468390.1072,634598.37799401,48051950.3452477,100.756391253334,2.57257869866205
"Age at start","14",540504280695.888,0,27676449.3189764,547834106114.636,344111704.599362,27148871.0041127,20.3007152060746,652.247628275368
"Age at start","17",10726893949.2674,0,48298628.2713007,10791468390.1072,634598.37799401,48051950.3452477,100.756391253334,2.57257869866205
